oc1,oc2,appel_2nde,loisir_2nde,loisir_1ere,comment
AGEN,NARBONNE,15,44,66,
AGEN,NIMES,20,56,85,
AGEN,PARIS AUSTERLITZ,25,108,140,
AGEN,PARIS MONTPARNASSE 1 ET 2,25,108,140,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN,POITIERS,,58,84,
AGEN,RUFFEC CHARENTE,,43,63,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN,SETE,,53,79,
AGEN,ST PIERRE DES CORPS,20,69,101,
AGEN,TOULOUSE MATABIAU,,24,37,
AGEN,VALENCE,25,89,119,
AGEN,VALENCE TGV,25,89,119,
AIME LA PLAGNE,AIX LES BAINS LE REVARD,,21,31,
AIME LA PLAGNE,ALBERTVILLE,,14.6,21,
AIME LA PLAGNE,ARRAS,25,127,167,
AIME LA PLAGNE,AURAY,30,137,179,
AIME LA PLAGNE,BELFORT,MONTBELIARD TGV,25,92,115,
AIME LA PLAGNE,BERNAY,25,125,165,
AIME LA PLAGNE,BESANCON FRANCHE,COMTE TGV,20,78,97,
AIME LA PLAGNE,BOURG EN BRESSE,,27.5,37,
AIME LA PLAGNE,BOURG ST MAURICE,,5.4,7.8,
AIME LA PLAGNE,DOUAI,25,127,167,
AIME LA PLAGNE,ECOLE VALENTIN,,78,97,
AIME LA PLAGNE,LISIEUX,25,125,165,
AIME LA PLAGNE,MOUTIERS SALINS BRIDES,,6.7,10.5,
AIME LA PLAGNE,QUIMPER,30,147,190,
AIME LA PLAGNE,REDON,30,137,179,
AIME LA PLAGNE,RENNES,25,132,170,
AIME LA PLAGNE,ROUEN RIVE DROITE,25,121,160,
AIME LA PLAGNE,ST BRIEUC,30,137,179,
AIME LA PLAGNE,TGV HAUTE PICARDIE,25,119,156,
AIME LA PLAGNE,VANNES,30,137,179,
AIX EN PROVENCE TGV , RENNES,30,148,188,Tarifs applicables aux circulations à partir du 2 juillet 2017
AIX EN PROVENCE TGV , ST PIERRE DES CORPS,25,125,168,Tarifs applicables aux circulations à partir du 2 juillet 2017
AIX EN PROVENCE TGV,AEROPORT CDG 2 TGV ROISSY,25,116,162,
AIX EN PROVENCE TGV,AIX LES BAINS LE REVARD,25,89,119,
AIX EN PROVENCE TGV,ANNECY,25,91,120,
AIX EN PROVENCE TGV,ANTIBES,,39,55,
AIX EN PROVENCE TGV,ARRAS,30,144,184,
AIX EN PROVENCE TGV,AVIGNON TGV,,30,44,
AIX EN PROVENCE TGV,BELFORT,MONTBELIARD TGV,20,124,161,
AIX EN PROVENCE TGV,BELLEGARDE,20,77,111,
AIX EN PROVENCE TGV,BESANCON FRANCHE,COMTE TGV,20,111,144,
AIX EN PROVENCE TGV,BEZIERS,,46,61,
AIX EN PROVENCE TGV,BORDEAUX ST JEAN,25,107,142,
AIX EN PROVENCE TGV,BOURG EN BRESSE,20,79,103,
AIX EN PROVENCE TGV,CANNES,,38,54,
AIX EN PROVENCE TGV,CARCASSONNE,15,58,75,
AIX EN PROVENCE TGV,CHALON SUR SAONE,20,87,113,
AIX EN PROVENCE TGV,CHAMBERY CHALLES LES EAUX,25,89,119,
AIX EN PROVENCE TGV,CULMONT CHALINDREY,25,98,140,
AIX EN PROVENCE TGV,DOUAI,30,144,184,
AIX EN PROVENCE TGV,ECOLE VALENTIN,,111,144,
AIX EN PROVENCE TGV,GRENOBLE,20,65,86,
AIX EN PROVENCE TGV,HYERES,,21.5,31,
AIX EN PROVENCE TGV,LAROCHE MIGENNES,25,95,137,
AIX EN PROVENCE TGV,LE CREUSOT MONTCEAU MONTCHANIN,25,82,118,
AIX EN PROVENCE TGV,LES ARCS DRAGUIGNAN,,30,44,
AIX EN PROVENCE TGV,LILLE EUROPE,30,144,184,
AIX EN PROVENCE TGV,LONS LE SAUNIER,20,85,113,
AIX EN PROVENCE TGV,LYON PART DIEU,20,67,89,
AIX EN PROVENCE TGV,LYON PERRACHE,20,67,89,
AIX EN PROVENCE TGV,LYON ST EXUPERY,20,67,89,
AIX EN PROVENCE TGV,MACON LOCHE TGV,20,75,100,
AIX EN PROVENCE TGV,MACON VILLE,20,81,104,
AIX EN PROVENCE TGV,MANTES LA J. TGV,,116,162,
AIX EN PROVENCE TGV,MANTES LA JOLIE,25,116,162,
AIX EN PROVENCE TGV,MARNE LA VALLEE CHESSY,25,116,162,
AIX EN PROVENCE TGV,MARSEILLE BLANCARDE,,7.7,15,
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,,6.4,12.6,
AIX EN PROVENCE TGV,MASSY PALAISEAU,25,116,162,
AIX EN PROVENCE TGV,MASSY TGV,25,116,162,
AIX EN PROVENCE TGV,MELUN,25,105,148,
AIX EN PROVENCE TGV,MENTON,,43,65,
AIX EN PROVENCE TGV,MONACO MONTE CARLO,,43,65,
AIX EN PROVENCE TGV,MONTBELIARD,25,106,141,
AIX EN PROVENCE TGV,MONTPELLIER,20,37,50,
AIX EN PROVENCE TGV,MOUCHARD,,67,112,
AIX EN PROVENCE TGV,NANCY VILLE,25,117,151,
AIX EN PROVENCE TGV,NANTES,30,142,180,
AIX EN PROVENCE TGV,NARBONNE,,49,64,
AIX EN PROVENCE TGV,NEUFCHATEAU,25,98,140,
AIX EN PROVENCE TGV,NICE VILLE,,41,60,
AIX EN PROVENCE TGV,NIMES,,30,44,
AIX EN PROVENCE TGV,PARIS GARE DE LYON,25,116,162,
AIX EN PROVENCE TGV,PARIS NORD,25,116,162,
AIX EN PROVENCE TGV,PERPIGNAN,15,51,66,
AIX EN PROVENCE TGV,RENNES,30,142,180,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AIX EN PROVENCE TGV,ROUEN RIVE DROITE,25,129,177,
AIX EN PROVENCE TGV,SENS,25,105,148,
AIX EN PROVENCE TGV,SETE,,37,50,
AIX EN PROVENCE TGV,ST PIERRE DES CORPS,25,125,167,Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AIX EN PROVENCE TGV,ST RAPHAEL VALESCURE,,34,48,
AIX EN PROVENCE TGV,TGV HAUTE PICARDIE,30,136,174,
AIX EN PROVENCE TGV,TOUL,25,117,151,
AIX EN PROVENCE TGV,TOULON,,18,27,
AIX EN PROVENCE TGV,TOULOUSE MATABIAU,20,69,100,
AIX EN PROVENCE TGV,VALENCE,,48,70,
AIX EN PROVENCE TGV,VALENCE TGV,15,48,69,
AIX EN PROVENCE TGV,VENDOME VILLIERS SUR LOIR,25,125,167,
AIX EN PROVENCE TGV,VENTIMIGLIA STAZIONE,,46,69,
